Câu 1: Hiện nay anh/chị đang sinh sống và làm việc tại TP. HCM không?,Câu 2: Anh/chị đang sử dụng hoặc có ý định sử dụng thẻ ngân hàng hay không?,Câu 3: Anh/ chị hiện đang sử dụng loại thẻ ngân hàng gì?,UY TÍN THƯƠNG HIỆU [Tôi chọn ngân hàng có danh tiếng để mở thẻ lần đầu tiên],UY TÍN THƯƠNG HIỆU [Ngân hàng có uy tín là lựa chọn của tôi để mở thẻ lần đầu],UY TÍN THƯƠNG HIỆU [Tôi chọn ngân hàng hoạt động lâu năm trên địa bàn để mở thẻ lần đầu tiên],UY TÍN THƯƠNG HIỆU [Ngân hàng có nhiều hoạt động xã hội là nơi tôi chọn để mở thẻ lần đầu tiên],ẢNH HƯỞNG CỦA NGƯỜI THÂN QUEN [Gia đình khuyên tôi mở thẻ ở ngân hàng này],"ẢNH HƯỞNG CỦA NGƯỜI THÂN QUEN [Từ lời khuyên của bạn bè, đồng nghiệp tôi chọn mở thẻ ngân hàng này]","ẢNH HƯỞNG CỦA NGƯỜI THÂN QUEN [Từ những thông tin trên internet, tôi quyết định mở thẻ ngân hàng này]",ẢNH HƯỞNG CỦA NGƯỜI THÂN QUEN [Tôi mở thẻ ngân hàng vì có người quen làm trong ngân hàng này.],NHÂN VIÊN [Thái độ phục vụ của nhân viên ngân hàng thân thiện và vui vẻ],"NHÂN VIÊN [Nhân viên ngân hàng hướng dẫn thủ tục đăng kí mở thẻ tận tình, chi tiết và rõ ràng]","NHÂN VIÊN [Trang phục nhân viên ngân hàng lịch sự, gọn gàng]",NHÂN VIÊN [Nhân viên ngân hàng có trình độ chuyên môn nghiệp vụ cao],"SỰ THUẬN TIỆN [Ngân hàng có số lượng máy ATM nhiều và mạng lưới rộng lớn, thuận tiện cho việc sử dụng thẻ]","SỰ THUẬN TIỆN [Thẻ ngân hàng có cung cấp các sản phẩm, dịch vụ trực tuyến tiện lợi]","SỰ THUẬN TIỆN [Thẻ ngân hàng dễ sử dụng, tháo tác nhanh chóng khi mua sắm]",SỰ THUẬN TIỆN [Thẻ ngân hàng giúp tôi “tiện lợi” hơn trong mùa Covid 19],LỢI ÍCH TÀI CHÍNH [Tôi quyết định mở thẻ ngân hàng vì được mở miễn phí],LỢI ÍCH TÀI CHÍNH [Tôi không mất phí duy trì (phí thường niên) khi sử dụng thẻ ngân hàng],LỢI ÍCH TÀI CHÍNH [Ngân hàng có mức phí giao dịch cạnh tranh],QUYẾT ĐỊNH MỞ THẺ LẦN ĐẦU TIÊN [Tôi có động lực mạnh mẽ để mở thẻ ngân hàng trong thời gian tới],QUYẾT ĐỊNH MỞ THẺ LẦN ĐẦU TIÊN [Tôi quyết định sẽ mở thẻ ngân hàng],QUYẾT ĐỊNH MỞ THẺ LẦN ĐẦU TIÊN [Tôi sẽ giới thiệu dịch vụ mở thẻ ngân hàng cho bạn bè],Câu 1: Giới tính của Anh/Chị là?,Câu 2: Độ tuổi của Anh/Chị?,Câu 3: Nghề nghiệp của Anh/Chị là?,Câu 4: Trình độ học vấn của Anh/Chị?,Câu 5: Thu nhập của Anh/Chị trong một tháng là? 
Có,Có,Thẻ trả trước,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Nam,Từ 22 - 25 tuổi,Nhân viên văn phòng,"Trung cấp, Cao đẳng",Trên 10 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Nữ,Từ 22 - 25 tuổi,Buôn bán/Kinh doanh tự do,Đại học,Trên 10 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Hoàn toàn đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Đồng ý,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Trung lập,Đồng ý,Trung lập,Nữ,Từ 20 - 22 tuổi,Sinh viên,Đại học,Dưới 1 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Trung lập,Trung lập,Hoàn toàn không đồng ý,Hoàn toàn không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Không đồng ý,Hoàn toàn không đồng ý,Trung lập,Đồng ý,Hoàn toàn không đồng ý,Trung lập,Đồng ý,Hoàn toàn đồng ý,Trung lập,Đồng ý,Đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Đồng ý,Trung lập,Trung lập,Nữ,Từ 18 - 20 tuổi,Sinh viên,Đại học,Dưới 1 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Đồng ý,Trung lập,Hoàn toàn không đồng ý,Không đồng ý,Đồng ý,Không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Trung lập,Hoàn toàn không đồng ý,Hoàn toàn không đồng ý,Trung lập,Đồng ý,Đồng ý,Nữ,Từ 22 - 25 tuổi,Nhân viên văn phòng,"Trung cấp, Cao đẳng",Từ 3 triệu - dưới 5 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Đồng ý,Trung lập,Không đồng ý,Hoàn toàn đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Đồng ý,Đồng ý,Nữ,Từ 18 - 20 tuổi,Sinh viên,Đại học,Từ 1 triệu - dưới 3 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Hoàn toàn đồng ý,Trung lập,Đồng ý,Đồng ý,Hoàn toàn không đồng ý,Hoàn toàn không đồng ý,Hoàn toàn không đồng ý,Hoàn toàn không đồng ý,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Đồng ý,Trung lập,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Trung lập,Đồng ý,Hoàn toàn đồng ý,Nữ,Từ 20 - 22 tuổi,Nhân viên văn phòng,"Trung cấp, Cao đẳng",Từ 5 triệu - dưới 10 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Đồng ý,Trung lập,Đồng ý,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Trung lập,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Đồng ý,Nữ,Từ 18 - 20 tuổi,Sinh viên,Đại học,Dưới 1 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Không đồng ý,Trung lập,Đồng ý,Đồng ý,Đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Nữ,Từ 18 - 20 tuổi,Sinh viên,Đại học,Dưới 1 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Trung lập,Đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Không đồng ý,Trung lập,Đồng ý,Đồng ý,Hoàn toàn không đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Hoàn toàn đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Nam,Từ 18 - 20 tuổi,Sinh viên,Trung học phổ thông,Dưới 1 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Không đồng ý,Trung lập,Đồng ý,Đồng ý,Đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Đồng ý,Đồng ý,Nữ,Từ 18 - 20 tuổi,Nhân viên văn phòng,Trung học phổ thông,Từ 3 triệu - dưới 5 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Trung lập,Đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Nữ,Từ 20 - 22 tuổi,Sinh viên,Đại học,Dưới 1 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Nam,Từ 18 - 20 tuổi,Sinh viên,Trung học phổ thông,Dưới 1 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Đồng ý,Hoàn toàn đồng ý,Đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Nữ,Từ 20 - 22 tuổi,Nhân viên văn phòng,Đại học,Dưới 1 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Trung lập,Trung lập,Đồng ý,Hoàn toàn đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Nữ,Từ 18 - 20 tuổi,Nhân viên văn phòng,Đại học,Dưới 1 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Đồng ý,Trung lập,Đồng ý,Đồng ý,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Đồng ý,Hoàn toàn không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Đồng ý,Hoàn toàn đồng ý,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Trung lập,Đồng ý,Trung lập,Nữ,Từ 18 - 20 tuổi,Nhân viên văn phòng,"Trung cấp, Cao đẳng",Từ 1 triệu - dưới 3 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Nữ,Từ 18 - 20 tuổi,Nhân viên văn phòng,"Trung cấp, Cao đẳng",Từ 1 triệu - dưới 3 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Trung lập,Đồng ý,Trung lập,Không đồng ý,Trung lập,Đồng ý,Không đồng ý,Không đồng ý,Trung lập,Đồng ý,Trung lập,Không đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Không đồng ý,Không đồng ý,Trung lập,Trung lập,Nữ,Từ 20 - 22 tuổi,Nội trợ,Trung học phổ thông,Từ 1 triệu - dưới 3 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Đồng ý,Trung lập,Không đồng ý,Trung lập,Đồng ý,Trung lập,Không đồng ý,Hoàn toàn không đồng ý,Trung lập,Đồng ý,Hoàn toàn đồng ý,Nữ,Từ 18 - 20 tuổi,Buôn bán/Kinh doanh tự do,Trung học phổ thông,Từ 3 triệu - dưới 5 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Trung lập,Đồng ý,Đồng ý,Đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Đồng ý,Trung lập,Nam,Từ 20 - 22 tuổi,Sinh viên,"Trung cấp, Cao đẳng",Dưới 1 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Đồng ý,Trung lập,Đồng ý,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Đồng ý,Trung lập,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Nữ,Từ 20 - 22 tuổi,Sinh viên,"Trung cấp, Cao đẳng",Từ 1 triệu - dưới 3 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Trung lập,Đồng ý,Trung lập,Không đồng ý,Không đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Hoàn toàn đồng ý,Trung lập,Không đồng ý,Trung lập,Trung lập,Đồng ý,Không đồng ý,Nam,Từ 20 - 22 tuổi,Buôn bán/Kinh doanh tự do,Trung học phổ thông,Trên 10 triệu
Có,Có,Thẻ ghi nợ (Thẻ ATM),Trung lập,Đồng ý,Đồng ý,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Trung lập,Đồng ý,Trung lập,Trung lập,Trung lập,Không đồng ý,Trung lập,Trung lập,Đồng ý,Đồng ý,Nam,Từ 20 - 22 tuổi,Nhân viên văn phòng,"Trung cấp, Cao đẳng",Từ 3 triệu - dưới 5 triệu
